iter	Passed	Remaining
192	300	1256
193	301	1251
194	302	1246
195	302	1242
196	303	1238
197	305	1235
198	305	1230
199	306	1225
200	307	1221
201	307	1216
202	308	1211
203	309	1207
204	310	1203
205	311	1198
206	311	1194
207	312	1189
208	313	1185
209	313	1181
210	314	1176
211	315	1172
212	316	1169
213	317	1165
214	318	1162
215	319	1158
216	320	1155
217	320	1151
218	321	1147
219	322	1143
220	323	1139
221	324	1135
222	324	1131
223	325	1127
224	326	1124
225	327	1121
226	328	1117
227	328	1113
228	329	1110
229	330	1107
230	331	1103
231	333	1103
232	334	1101
233	335	1097
234	336	1094
235	336	1090
236	337	1087
237	338	1083
238	339	1080
239	339	1076
240	340	1073
241	341	1069
242	342	1066
243	343	1063
244	344	1060
245	345	1058
246	349	1064
247	350	1062
248	351	1060
249	352	1056
250	353	1053
251	353	1050
252	354	1047
253	355	1044
254	356	1041
255	357	1038
256	358	1035
257	359	1032
258	359	1029
259	360	1026
260	361	1024
261	366	1032
262	367	1029
263	368	1027
264	369	1025
265	370	1023
266	372	1021
267	373	1020
268	374	1018
269	375	1016
270	377	1014
271	378	1012
272	379	1009
273	380	1006
274	380	1004
275	381	1000
276	382	998
277	383	995
278	383	992
279	384	989
280	385	986
281	386	983
282	387	980
283	387	977
284	388	974
285	389	972
286	390	969
287	391	967
288	395	972
289	396	969
290	396	967
291	397	964
292	398	961
293	399	959
294	400	957
295	401	954
296	402	951
297	402	948
298	403	947
299	404	944
300	405	941
301	406	938
302	406	936
303	407	933
304	408	931
305	409	929
306	410	926
307	411	923
308	412	921
309	412	918
310	413	916
311	414	913
312	415	910
313	415	908
314	416	905
315	417	903
316	418	901
317	419	898
318	419	896
319	420	894
320	421	891
321	423	892
322	424	889
323	425	887
324	426	885
325	426	882
326	427	880
327	428	878
328	429	875
329	430	873
330	430	870
331	431	868
332	432	866
333	433	863
334	433	861
335	434	858
336	435	856
337	436	854
338	438	854
339	439	852
340	440	850
341	440	848
342	441	846
343	442	843
344	443	841
345	444	839
346	444	837
347	445	835
348	446	832
349	447	830
350	447	827
351	448	825
352	449	823
353	450	821
354	451	820
355	452	818
356	453	815
357	453	813
358	454	811
359	455	809
360	456	807
361	456	805
362	457	802
363	458	800
364	458	798
365	459	796
366	460	794
367	461	792
368	462	790
369	462	788
370	463	786
371	464	784
372	465	782
373	466	780
374	467	778
375	467	776
376	468	774
377	469	772
378	469	769
379	470	767
380	471	765
381	472	763
382	472	761
383	473	759
384	474	757
385	475	755
386	475	753
387	476	751
388	477	750
389	480	751
390	481	749
391	482	747
392	482	745
393	483	743
394	484	741
395	485	739
396	485	737
397	486	736
398	487	734
399	488	732
400	489	730
401	490	728
402	490	727
403	491	725
404	492	723
405	494	723
406	495	721
407	496	720
408	497	718
409	497	716
410	498	714
411	499	712
412	500	710
413	500	708
414	501	707
415	502	705
416	503	703
417	504	701
418	504	700
419	505	698
420	506	696
421	507	694
422	508	693
423	509	692
424	510	690
425	511	688
426	511	686
427	513	685
428	514	684
429	514	682
430	515	680
431	516	679
432	517	677
433	518	675
434	518	673
435	519	672
436	520	670
437	521	668
438	522	667
439	523	666
440	524	664
441	525	662
442	526	661
443	526	659
444	527	657
445	528	656
446	529	654
447	529	653
448	530	651
449	531	649
450	532	648
451	533	647
452	534	645
453	535	644
454	536	642
455	539	643
456	540	641
457	540	640
458	541	638
459	542	636
460	543	635
461	544	634
462	545	632
463	546	630
464	547	629
465	548	627
466	548	626
467	549	624
468	550	623
469	551	621
470	552	620
471	553	619
472	554	617
473	554	615
474	555	614
475	556	612
476	557	610
477	557	609
478	558	607
479	559	605
480	560	604
481	560	602
482	561	601
483	562	599
484	563	598
485	564	597
486	565	596
487	567	595
488	568	594
489	569	593
490	570	591
491	571	590
492	572	589
493	573	587
494	574	586
495	575	584
496	576	583
497	577	582
498	578	580
499	579	579
500	580	578
501	581	577
502	582	575
503	583	574
504	584	573
505	585	571
506	586	570
507	587	569
508	588	567
509	589	566
510	590	565
511	591	563
512	592	562
513	593	560
514	594	559
515	595	558
516	595	556
517	599	557
518	600	556
519	602	555
520	603	554
521	604	553
522	606	553
523	607	551
524	608	550
525	609	549
526	612	549
527	613	548
528	615	547
529	616	546
530	617	545
531	617	543
532	618	542
533	619	540
534	620	539
535	621	537
536	622	536
537	622	534
538	623	533
539	624	532
540	625	530
541	628	530
542	629	529
543	630	528
544	630	526
545	631	525
546	632	523
547	633	522
548	634	520
549	634	519
550	635	518
551	637	516
552	637	515
553	638	514
554	639	512
555	640	511
556	642	510
557	642	509
558	643	507
559	644	506
560	645	505
561	647	504
562	648	503
563	649	501
564	650	500
565	651	499
566	652	498
567	653	496
568	657	498
569	658	497
570	659	495
571	660	494
572	661	493
573	662	491
574	663	490
575	664	488
576	665	487
577	665	486
578	666	484
579	667	483
580	668	481
581	669	480
582	669	479
583	670	477
584	672	477
585	673	475
586	674	474
587	675	473
588	675	471
589	676	470
590	677	468
591	678	467
592	679	466
593	680	465
594	681	464
595	682	462
596	683	461
597	684	460
598	685	458
599	687	458
600	688	457
601	689	455
602	690	454
603	691	453
604	693	452
605	696	452
606	698	452
607	700	451
608	702	451
609	703	449
610	704	448
611	705	446
612	706	445
613	707	444
614	708	443
615	709	442
616	710	441
617	711	439
618	712	438
619	713	437
620	714	436
621	715	434
622	717	434
623	718	433
624	719	431
625	720	430
626	721	429
627	722	428
628	723	426
629	724	425
630	724	423
631	726	422
632	727	421
633	728	420
634	729	419
635	730	418
636	732	417
637	733	416
638	734	414
639	735	413
640	736	412
641	737	411
642	738	409
643	739	408
644	740	407
645	741	406
646	741	404
647	742	403
648	743	402
649	745	401
650	747	400
651	748	399
652	748	397
653	749	396
654	750	395
655	751	393
656	752	392
657	752	391
658	753	389
659	754	388
660	755	387
661	756	386
662	757	384
663	758	383
664	759	382
665	761	381
666	762	380
667	763	379
668	764	378
669	765	376
670	766	375
671	767	374
672	768	373
673	769	372
674	770	370
675	770	369
676	771	368
677	772	367
678	773	365
679	774	364
680	775	363
681	776	362
682	778	361
683	779	359
684	780	358
685	781	357
686	782	356
687	783	355
688	784	353
689	784	352
690	786	351
691	787	350
692	788	349
693	790	348
694	791	347
695	792	346
696	793	344
697	794	343
698	796	342
699	797	341
700	799	340
701	800	339
702	801	338
703	804	338
704	805	336
705	806	335
706	807	334
707	808	333
708	808	332
709	809	330
710	810	329
711	811	328
712	812	326
713	812	325
714	813	324
715	814	323
716	815	322
717	818	321
718	819	320
719	821	319
720	822	318
721	823	316
722	824	315
723	824	314
724	825	313
725	826	311
726	826	310
727	827	309
728	828	308
729	829	306
730	830	305
731	833	305
732	834	304
733	835	302
734	836	301
735	838	300
736	839	299
737	840	298
738	841	297
739	842	295
740	843	294
741	843	293
742	844	292
743	845	290
744	846	289
745	847	288
746	848	287
747	849	286
748	850	285
749	851	283
750	852	282
751	852	281
752	853	280
753	855	279
754	860	279
755	864	279
756	865	277
757	867	276
758	868	275
759	869	274
760	870	273
761	871	272
762	872	270
763	873	269
764	874	268
765	875	267
766	876	266
767	878	265
768	878	263
769	879	262
770	880	261
771	881	260
772	882	259
773	882	257
774	883	256
775	884	255
776	885	254
777	886	252
778	886	251
779	887	250
780	888	249
781	889	247
782	889	246
783	890	245
784	891	244
785	893	243
786	894	241
787	894	240
788	895	239
789	896	238
790	897	237
791	898	235
792	898	234
793	899	233
794	900	232
795	901	231
796	902	229
797	902	228
798	903	227
799	904	226
800	905	224
801	906	223
802	907	222
803	908	221
804	909	220
805	910	219
806	911	217
807	911	216
808	912	215
809	913	214
810	914	213
811	915	211
812	916	210
813	918	209
814	919	208
815	920	207
816	923	206
817	923	205
818	924	204
819	925	203
820	926	201
821	927	200
822	928	199
823	928	198
824	929	197
825	930	196
826	931	194
827	932	193
828	933	192
829	933	191
830	935	190
831	937	189
832	938	188
833	939	187
834	940	185
835	941	184
836	942	183
837	942	182
838	943	181
839	944	179
840	945	178
841	946	177
842	947	176
843	947	175
844	948	174
845	949	172
846	950	171
847	952	170
848	953	169
849	954	168
850	955	167
851	955	166
852	956	164
853	957	163
854	958	162
855	958	161
856	959	160
857	960	158
858	961	157
859	962	156
860	963	155
861	964	154
862	965	153
863	966	152
864	966	150
865	967	149
866	968	148
867	969	147
868	970	146
869	970	145
870	971	143
871	972	142
872	973	141
873	973	140
874	974	139
875	975	138
876	976	136
877	977	135
878	977	134
879	978	133
880	980	132
881	981	131
882	982	130
883	983	129
884	984	127
885	984	126
886	985	125
887	986	124
888	987	123
889	988	122
890	988	120
891	989	119
892	990	118
893	991	117
894	992	116
895	993	115
896	993	114
897	994	113
898	995	111
899	996	110
900	997	109
901	998	108
902	999	107
903	999	106
904	1000	105
905	1001	103
906	1002	102
907	1002	101
908	1003	100
909	1004	99
910	1005	98
911	1006	97
912	1006	95
913	1007	94
914	1010	93
915	1010	92
916	1011	91
917	1012	90
918	1013	89
919	1014	88
920	1015	87
921	1015	85
922	1016	84
923	1017	83
924	1018	82
925	1018	81
926	1019	80
927	1020	79
928	1021	78
929	1022	76
930	1022	75
931	1023	74
932	1024	73
933	1025	72
934	1026	71
935	1027	70
936	1027	69
937	1028	67
938	1029	66
939	1030	65
940	1030	64
941	1031	63
942	1032	62
943	1033	61
944	1034	60
945	1035	59
946	1036	57
947	1036	56
948	1037	55
949	1038	54
950	1039	53
951	1040	52
952	1041	51
953	1041	50
954	1042	49
955	1043	48
956	1044	46
957	1045	45
958	1045	44
959	1046	43
960	1047	42
961	1048	41
962	1049	40
963	1049	39
964	1050	38
965	1051	37
966	1052	35
967	1053	34
968	1054	33
969	1055	32
970	1056	31
971	1057	30
972	1057	29
973	1058	28
974	1059	27
975	1060	26
976	1061	24
977	1062	23
978	1062	22
979	1063	21
980	1064	20
981	1065	19
982	1066	18
983	1067	17
984	1068	16
985	1069	15
986	1070	14
987	1071	13
988	1071	11
989	1072	10
990	1073	9
991	1074	8
992	1075	7
993	1075	6
994	1076	5
995	1077	4
996	1078	3
997	1078	2
998	1079	1
999	1080	0
